__u22aQvXsR6AC_ALXU4CA,The Chicken Bone,,1260 Boylston St,Boston,,02215,42.3451,-71.0959,3.0,22,0
_-JLAZxp7bazwkUqCLCl1A,Boston Deli Deluxe,,104 South St,Boston,,02111,42.3511,-71.0571,3.5,6,0
_0d408AYQPBJ0ywAaFBF3g,Hopsters Brewing Company,,51 Sleeper St,Boston,,02210,42.3525,-71.0486,3.0,202,0
_0DKjDem7Ls2TYtiTEL00Q,Squeeze Juice Company,,15 Channel Ctr,Boston,,02210,42.3457,-71.0514,3.5,9,1
_0Oy_II5GLAv-80S-MnCow,Allegro Dry Cleaning Service,,76 Berkeley St,Boston,,02116,42.347,-71.0711,2.0,12,1
_0rj_OR0GENLtp8Yrhd37g,Eastcoastgaming,,,Boston,,02131,42.2832,-71.127,4.0,10,1
_1CZaBxU_q2ftDpLSfIMjA,Forum,,775 Boylston St,Boston,,02116,42.3493,-71.0811,3.5,211,0
_1lbiM0nAY-xU09duQt7Ug,MBTA - Ruggles Station,,Ruggles St,Boston,,02120,42.3367,-71.0895,2.5,29,1
_1r8W-j_3WwJyRRIQR86Jw,North Square Oyster,,5 N Sq,Boston,,02113,42.364,-71.0536,4.0,196,1
_1SkbJAigF03kgow3HPdyA,1630,,4 S Market St,Boston,,02109,42.3599,-71.0538,4.0,5,0
_2JalAFE54-vEGNmZbNiRg,Randall Garnick Photography,,,Boston,,02108,42.3549,-71.0661,5.0,7,1
_3GWVwMweFUEdT-z2qzZEw,Hotel Chocolat,,141A Newbury St,Boston,,02116,42.3511,-71.0773,4.0,74,0
_3uWKqzuRs6USVsbpx5DBQ,The Pasta Pot,,,Boston,,02127,42.3365,-71.0349,2.5,14,0
_4-G3GLMS-S1n0cAto5xZQ,Courtyard Tea Room,,700 Boylston St,Boston,,02116,42.3497,-71.0779,4.0,157,1
_5WLTKVPsUyHFkHzphF8fw,Silk Screen Printing,,,Boston,,02127,42.3365,-71.0349,4.0,6,1
_6LbFlVrBsuaIYAdu1Nx7g,Around the Corner,,637 Tremont St,Boston,,02118,42.3424,-71.0751,5.0,20,1
_7NQg7ObN4wLbt5gdx0DGA,North End Waterfront Health Center,,332 Hanover St,Boston,,02113,42.3648,-71.0537,2.5,42,1
_8mci-1F9KNj4NExsCakdQ,Truffles,,100 Huntington Ave,Boston,,02116,42.3472,-71.0791,2.5,13,1
_98MfEQ67r9-V78gmy8_Pg,Grill 23 & Bar,,161 Berkeley St,Boston,,02116,42.3494,-71.0721,4.0,1035,1
_9ZSlKAUHhfGWvja-7llJQ,Boston Ballet,,19 Clarendon St,Boston,,02116,42.3447,-71.0719,4.0,35,1
_A6fj7b4qwnmcEEOYOu5vw,Mala Restaurant,,129 Brighton Ave,Boston,,02134,42.3531,-71.1311,3.5,262,1
_AjwUHdNpWJK5ihDdHBJGQ,Back Bay Events Center,,180 Berkeley St,Boston,,02116,42.3497,-71.0726,3.0,6,1
_azN7xsf92moObttcD2mzw,Japan Festival Boston,,The Boston Common 16 Charles St,Boston,,02108,42.3549,-71.0661,4.0,5,1
_BKhFzN3LY_UEtNUR4cq7g,Coleen's Flower Shop,,912 Dorchester Ave,Boston,,02125,42.3198,-71.0565,4.5,48,1
_BlacgaD14dZJtaWKHTljg,Damons Restaurant,,8 Park Plz,Boston,,02116,42.3513,-71.0661,2.5,5,0
_BnfBDIvA-D8M4rPwBeOCg,Whim Events,,24 Roland St,Boston,,02129,42.3817,-71.0782,5.0,44,1
_BRbfLrrgGVQ28-npeQLIQ,James Holske Electrician,,40 Delle Ave,Boston,,02120,42.3312,-71.0991,4.5,95,1
_bsS6oirZc8qKb2zL3iRvA,Esquire Moving & Storage,,23 Aberdeen St,Boston,,02115,42.3459,-71.1039,4.5,168,1
_BuGkENtDEZYHnawFeS5pA,Klassy Kuts,,8 Hyde Park Ave,Boston,,02130,42.2996,-71.1135,4.0,5,1
_C-OMjzEM4PVBVjh-svpmw,Mixx Frozen Yogurt,,1258 Boylston St,Boston,,02215,42.3453,-71.0952,3.5,5,0
_cSYDBswqaHYBVLO7UheMA,MBTA - Charles/MGH Station,,170 Charles St,Boston,,02114,42.3606,-71.0713,4.0,6,1
_d4F7-optaFUu-LqLKORnA,Supreme Staffing Solutions,,225 Franklin St,Boston,,02108,42.356,-71.054,3.5,5,1
_DCIuG2cAmNUFJzt7vohaw,Talbots,,500 Boylston St,Boston,,02116,42.3473,-71.0744,3.0,26,1
_dGJuIRF8HZr3bvKMHx_0w,Le's Beauty Salon,,10 Kneeland St,Boston,,02111,42.3509,-71.0625,4.0,260,1
_DNiHF9YU2vhMBf5eNedaw,Caswell Galleries,,31 Charles St,Boston,,02114,42.3618,-71.0664,4.0,5,0
_dOIfOlfA5app2dNrF8WNw,Aldo,,180 Newbury St,Boston,,02116,42.3502,-71.0793,2.5,29,1
_dT4yoCbm91hA_3YJ1aLeQ,The Hen House Wings 'n Waffles,,1033 Massachusetts Ave,Boston,,02118,42.3273,-71.0676,3.0,282,1
_eFcPQLcyViRvBUUb2YbNg,Boston Roverland,,43 A St,Boston,,02127,42.3412,-71.0557,4.0,8,0
