__2qARZdW5wtsnTdSNuG9Q,Frank,7,2020-07-18 00:19:15,5,1,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0
__6hVrBqelcGF5MRVEvf2Q,K,20,2012-06-24 17:39:30,26,9,2,0,2.31,0,0,0,0,0,0,0,0,0,0,0
__bMs0nf3_hnhitK91gT4A,Simone,251,2013-03-16 16:05:57,308,37,69,16,3.52,1,0,0,0,0,6,1,12,12,5,1
__mHC_EY7WNcVEk-uaprEw,Kaitlyn,7,2019-07-27 00:40:58,3,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0
__qZahPhWaHgxGbD67pJjQ,SE,41,2014-12-30 16:35:54,9,6,1,0,3.17,0,0,0,0,0,0,0,0,0,0,1
_-9TRD-bQqHcMBvQAEQrNw,Gessica,5,2017-08-30 00:15:29,8,4,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
_-h5FLnndgH5k0OcYgw2Iw,Laura,1,2020-01-31 16:21:41,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
_-t0kbd5LXnaBCLERVp5ig,Herschel,34,2011-05-29 20:43:14,6,0,2,0,2.71,0,0,0,0,0,0,0,0,0,0,0
_0dTkldA0vi0YRzaQ-uynQ,Lucy,10,2019-06-23 19:16:14,1,1,1,0,4.5,0,0,0,1,0,0,0,0,0,0,0
_0I6Uq62-bNMBqnABWYCwg,Katy,40,2016-05-24 20:13:17,23,2,4,1,4.58,0,0,0,0,0,1,0,0,0,0,0
_0koZ94a3kRhYvnbMmYGtg,Michael,1,2016-11-07 22:08:49,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0
_0OxHT5FMyC8GTl6mTXlNg,Deirdre,3,2015-12-16 03:40:57,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0
_0yHIFAieF1B1Ti-3KgL8g,Jocelyn,1,2017-08-27 00:37:47,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0
_1ApfrutaAkWyjp-1CaFGw,Michelle,1,2020-11-11 15:32:42,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0
_1EGP9CPuiYivzRfT8q-8g,Jiyi,14,2014-05-23 22:13:06,7,0,4,0,3.22,0,0,0,0,0,1,0,0,0,0,0
_1pueWrOcoFZdyYS25S9kQ,Tim,26,2011-12-29 22:06:27,80,13,6,0,2.33,0,0,0,0,0,1,0,0,0,0,0
_1X4PMje3K6gtC0ZP3mHsA,Perri,16,2012-09-11 00:59:38,45,15,8,0,4.3,0,1,0,0,0,1,0,1,1,1,0
_2c4xQw2pJnueifg5K7C-A,Ryan,13,2012-12-09 00:08:44,4,4,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0
_2HlNI_0hNWdV95m_Y9iIw,Shannon,25,2016-06-20 02:00:33,4,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0
_2kcp-kq8PhU37Na4HNoCw,Theresa,8,2011-03-30 04:18:36,9,2,1,0,3.56,0,0,0,0,0,0,1,0,0,0,0
_2tgCNjKbLeHnxFwAxiMSg,Gabriella,10,2016-01-09 20:23:57,2,0,1,0,3.42,0,0,0,0,0,0,0,0,0,0,0
_2zcFfmD99O7OTzhZ6QZhg,D,7,2010-11-07 12:37:26,4,1,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0
